427,Digital Games Research Conference,DIGRA,CORE2023,C,No,4607,4608,
565,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,CORE2023,C,Yes,4604,,
422,Designing Interactive Systems,DIS,CORE2023,A,Yes,4608,,
439,Dynamic Languages Symposium,DLS,CORE2023,C,Yes,4612,,
1324,DNA Computing and Molecular Programming,DNA,CORE2023,B,No,4601,,
2003,ACM Symposium on Document Engineering,DocEng,CORE2023,B,Yes,4605,,
2191,Discovery Science,DS,CORE2023,B,Yes,4611,4602,4601
2237,IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2023,B,Yes,4605,4611,
1900,Workshop on Domain Specific Modelling,DSM,CORE2023,C,No,4612,,
787,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,CORE2023,A,Yes,4606,CSE,
2009,International Workshop on Principles of Diagnosis,DX,CORE2023,C,Yes,4612,4606,
1011,International Conference on Engineering Applications of Neural Networks,EANN,CORE2023,C,Yes,4611,,
1022,International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2023,A,Yes,4612,,
475,European Conference on Computational Biology,ECCB,CORE2023,C,No,4601,,
469,European Chapter on Combinatorial Optimization,ECCO,CORE2023,C,No,4613,,
483,European Conference on Information Retrieval,ECIR,CORE2023,A,Yes,4605,,
2287,European Conference on Modelling Foundations and Applications,ECMFA,CORE2023,B,Yes,4612,,
463,Euromicro Conference on Real-Time Systems,ECRTS,CORE2023,B,Yes,4606,,
2165,European Conference on Software Architecture,ECSA,CORE2023,A,Yes,4612,,
478,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B,No,4608,,
2014,"World Conference on Educational Multimedia, Hypermedia and Telecommunications ",ED-MEDIA,CORE2023,C,Yes,4601,,
528,Extending Database Technology,EDBT,CORE2023,A,No,4605,,
